               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  74,              2.3987,              1.4914,              1.6067,             0.86291,             0.80745,             0.87928,             0.43065,                   0,                   0,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,              2.3805,              1.4795,              1.6016,             0.85908,             0.81735,             0.87568,             0.42385,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  76,              2.3636,              1.4755,              1.5989,             0.87331,             0.82939,             0.88986,             0.43589,                   0,                   0,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,              2.3708,              1.4765,              1.6052,             0.86387,             0.83197,             0.88947,             0.43445,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  78,               2.373,              1.4763,                1.59,             0.86589,             0.82672,             0.88897,             0.42755,                   0,                   0,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,              2.4005,              1.4903,              1.5973,             0.86824,             0.83035,              0.8919,             0.43157,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  80,              2.3779,              1.4878,                1.59,             0.86722,             0.82835,             0.88931,             0.43416,                   0,                   0,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,              2.3755,              1.4822,              1.5979,             0.85338,             0.81776,              0.8786,             0.41851,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  82,              2.3781,              1.4882,              1.5901,             0.87026,             0.82765,             0.89082,             0.42418,                   0,                   0,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,              2.3643,              1.4716,              1.5842,             0.86875,              0.8344,              0.8935,             0.43345,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  84,              2.3768,              1.4766,              1.5874,              0.8823,             0.83929,             0.90064,             0.43648,                   0,                   0,                   0,           0.0058915,           0.0058915,           0.0058915
